tier,pmid,year,journal,first_author,title,doi,lung_disease_scope,tf_target_evidence,why_listed,pubmed_url
A,35078977,2022,Nat Commun,Sauler M,Characterization of the COPD alveolar niche using single-cell RNA sequencing,10.1038/s41467-022-28062-9,COPD,transcriptomic network analysis,"COPD alveolar niche, human and mouse smoke-exposure validation",https://pubmed.ncbi.nlm.nih.gov/35078977/
A,31209336,2019,Nat Med,Vieira Braga FA,A cellular census of human lungs identifies novel cell states in health and in asthma,10.1038/s41591-019-0468-5,asthma,expression only,asthmatic and healthy airway census,https://pubmed.ncbi.nlm.nih.gov/31209336/
A,32726565,2020,Am J Respir Crit Care Med,Deprez M,A Single-Cell Atlas of the Human Healthy Airways,10.1164/rccm.201911-2199OC,"healthy airways, 35 locations",expression only,"77,969 cells, nose to 12th airway division",https://pubmed.ncbi.nlm.nih.gov/32726565/
A,34030460,2021,Circulation,Schupp JC,Integrated Single-Cell Atlas of Endothelial Cells of the Human Lung,10.1161/CIRCULATIONAHA.120.052318,pulmonary hypertension vs control,expression plus signaling networks,integrated human lung endothelial atlas from 6 datasets,https://pubmed.ncbi.nlm.nih.gov/34030460/
A,31949184,2020,Sci Rep,Villaseñor-Altamirano AB,PulmonDB: a curated lung disease gene expression database,10.1038/s41598-019-56339-5,COPD and IPF,none directly,PulmonDB curated and harmonized lung-disease transcriptome database,https://pubmed.ncbi.nlm.nih.gov/31949184/
B,31600171,2019,JCI Insight,McDonough JE,Transcriptional regulatory model of fibrosis progression in the human lung,10.1172/jci.insight.131597,"IPF, staged by microCT alveolar surface density",TF and miRNA regulators per expression track,IPFReg systems model; predicted POU2AF1 and validated it in knockout mice,https://pubmed.ncbi.nlm.nih.gov/31600171/
B,34922464,2021,BMC Genomics,Zhou B,Comprehensive epigenomic profiling of human alveolar epithelial differentiation identifies key epigenetic states and transcription factor co-regulatory networks for maintenance of distal lung identity,10.1186/s12864-021-08152-6,"links AEC differentiation to COPD, IPF, LUAD","TF binding in enhancers, TF co-regulatory networks",methylome plus chromatin domains plus RNA in human AEC2-to-AEC1 differentiation,https://pubmed.ncbi.nlm.nih.gov/34922464/
B,33164753,2020,Elife,Wang A,Single-cell multiomic profiling of human lungs reveals cell-type-specific and age-dynamic control of SARS-CoV2 host genes,10.7554/eLife.62522,"respiratory traits, COVID-19 risk locus 3p21.31",cCRE-to-target-gene links in lung cell types,"90,980 snATAC and 46,500 snRNA nuclei across 3 ages",https://pubmed.ncbi.nlm.nih.gov/33164753/
B,33707239,2021,Science,Zepp JA,"Genomic, epigenomic, and biophysical cues controlling the emergence of the lung alveolus",10.1126/science.abc3172,"alveolar formation, BPD relevance",single-cell chromatin accessibility plus pathway expression,AT1 signaling hub controlling myofibroblast and alveolus formation,https://pubmed.ncbi.nlm.nih.gov/33707239/
B,34927678,2021,Development,Negretti NM,A single-cell atlas of mouse lung development,10.1242/dev.199512,"mouse lung development, 9 timepoints",cell-state regulators,"102,571 cells, E12 to P14, searchable atlas",https://pubmed.ncbi.nlm.nih.gov/34927678/
B,39461973,2024,NPJ Syst Biol Appl,Marino R,An integrative network-based approach to identify driving gene communities in chronic obstructive pulmonary disease,10.1038/s41540-024-00425-6,"COPD exacerbation, obstruction severity, infection",validated TF regulons and miRNA regulons as network layers,multi-network gene community detection in AERIS blood samples,https://pubmed.ncbi.nlm.nih.gov/39461973/
B,36661515,2023,Curr Issues Mol Biol,Otálora-Otálora BA,Lung Cancer Gene Regulatory Network of Transcription Factors Related to the Hallmarks of Cancer,10.3390/cimb45010029,lung cancer subtypes plus PAH overlap,"TF-target regulatory network, ChEA3 validated",26 recurrently dysregulated TFs across lung cancer datasets,https://pubmed.ncbi.nlm.nih.gov/36661515/
B,29236308,2018,J Cell Biochem,Amalraj T,Database of transcription factors in lung cancer (DBTFLC): A novel resource for exploring transcription factors associated with lung cancer,10.1002/jcb.26603,lung cancer,"TF-TF and TF-target gene interactions, manually curated",DBTFLC holds 349 lung-cancer TFs with their target interactions,https://pubmed.ncbi.nlm.nih.gov/29236308/
B,39167456,2024,Circulation,Hong J,Integrative Multiomics in the Lung Reveals a Protective Role of Asporin in Pulmonary Arterial Hypertension,10.1161/CIRCULATIONAHA.124.069864,pulmonary arterial hypertension,Bayesian regulatory networks,"96 PAH and 52 control lungs, largest PAH lung biobank to date",https://pubmed.ncbi.nlm.nih.gov/39167456/
B,42261399,2026,Int J Chron Obstruct Pulmon Dis,Dong L,A Single Cell Atlas of the COPD Lung Identifies Inflammatory Reprogramming in Fibroblasts,10.2147/COPD.S617662,COPD,TF regulatory networks per fibroblast subpopulation,"6 control and 10 COPD lungs, fibroblast inflammatory reprogramming",https://pubmed.ncbi.nlm.nih.gov/42261399/
B,38249888,2023,J Thorac Dis,Huang F,Transcription factor-target gene regulatory network analysis in human lung adenocarcinoma,10.21037/jtd-23-1688,lung adenocarcinoma,TF-target gene regulatory network,TF-target network analysis in human LUAD,https://pubmed.ncbi.nlm.nih.gov/38249888/
C,29087512,2018,Nucleic Acids Res,Han H,TRRUST v2: an expanded reference database of human and mouse transcriptional regulatory interactions,10.1093/nar/gkx1013,not lung-specific,"8,444 human TF-target interactions for 800 TFs; 6,552 mouse for 828 TFs","TRRUST v2, sentence-based text mining plus manual curation",https://pubmed.ncbi.nlm.nih.gov/29087512/
C,32858223,2020,Genomics Proteomics Bioinformatics,Zhang Q,hTFtarget: A Comprehensive Database for Regulations of Human Transcription Factors and Their Targets,10.1016/j.gpb.2019.09.006,"tissue-labelled, includes lung samples","7,190 ChIP-seq samples of 659 TFs; binding sites for 699 TFs","hTFtarget, TF-target regulation by dataset and tissue",https://pubmed.ncbi.nlm.nih.gov/32858223/
C,31114921,2019,Nucleic Acids Res,Keenan AB,ChEA3: transcription factor enrichment analysis by orthogonal omics integration,10.1093/nar/gkz446,not lung-specific,"integrated ChIP-seq, co-expression and co-occurrence TF-target libraries",ChEA3 ranks upstream TFs for a submitted gene set,https://pubmed.ncbi.nlm.nih.gov/31114921/
C,31340985,2019,Genome Res,Garcia-Alonso L,Benchmark and integration of resources for the estimation of human transcription factor activities,10.1101/gr.240663.118,not lung-specific,"benchmark of curated, ChIP-seq, motif and reverse-engineered regulons",DoRothEA regulon confidence levels A to E,https://pubmed.ncbi.nlm.nih.gov/31340985/
C,37843125,2023,Nucleic Acids Res,Müller-Dott S,Expanding the coverage of regulons from high-confidence prior knowledge for accurate estimation of transcription factor activities,10.1093/nar/gkad841,not lung-specific,"signed TF-gene interactions for 1,186 TFs","CollecTRI meta-resource, outperformed other collections on perturbation data",https://pubmed.ncbi.nlm.nih.gov/37843125/
C,26424082,2015,Database (Oxford),Liu ZP,RegNetwork: an integrated database of transcriptional and post-transcriptional regulatory networks in human and mouse,10.1093/database/bav095,not lung-specific,"TF, miRNA and target interactions from 25 databases plus TFBS motifs",RegNetwork human and mouse,https://pubmed.ncbi.nlm.nih.gov/26424082/
C,33231677,2021,Nucleic Acids Res,Kolmykov S,GTRD: an integrated view of transcription regulation,10.1093/nar/gkaa1057,not lung-specific,"ChIP-seq TFBS across 9 species, uniform processing, HOCOMOCO motifs",GTRD 2021 integrated view of transcription regulation,https://pubmed.ncbi.nlm.nih.gov/33231677/
C,36124642,2022,Database (Oxford),Liska O,TFLink: an integrated gateway to access transcription factor-target gene interactions for multiple species,10.1093/database/baac083,not lung-specific,"~12 million TF-target interactions and ~9 million binding sites, 7 species","TFLink, integrates 10 resources",https://pubmed.ncbi.nlm.nih.gov/36124642/
C,37956336,2024,Nucleic Acids Res,Feng C,KnockTF 2.0: a comprehensive gene expression profile database with knockdown/knockout of transcription (co-)factors in multiple species,10.1093/nar/gkad1016,tissue and cell-type annotated,"1,468 datasets, 612 TFs and 172 co-factors, knockdown/knockout","KnockTF 2.0 gives perturbation-based, not binding-based, TF targets",https://pubmed.ncbi.nlm.nih.gov/37956336/
C,38749504,2024,Nucleic Acids Res,Zou Z,ChIP-Atlas 3.0: a data-mining suite to explore chromosome architecture together with large-scale regulome data,10.1093/nar/gkae358,not lung-specific,"376,000+ ChIP-seq, ATAC-seq, DNase-seq and bisulfite-seq experiments",ChIP-Atlas 3.0 adds GWAS SNP and ClinVar annotation tracks,https://pubmed.ncbi.nlm.nih.gov/38749504/
C,30462313,2019,Nucleic Acids Res,Zheng R,Cistrome Data Browser: expanded datasets and new tools for gene regulatory analysis,10.1093/nar/gky1094,tissue-labelled samples,"~47,000 human and mouse ChIP-seq, DNase-seq and ATAC-seq samples",Cistrome DB Toolkit queries which factors regulate a given gene,https://pubmed.ncbi.nlm.nih.gov/30462313/
C,34986601,2022,Nucleic Acids Res,Xu M,TF-Marker: a comprehensive manually curated database for transcription factors and related markers in specific cell and tissue types in human,10.1093/nar/gkab1114,"cell- and tissue-type specific, includes lung","5,905 curated entries, 1,316 TFs, 1,092 TF-regulated markers",TF-Marker links TFs to markers by cell and tissue type,https://pubmed.ncbi.nlm.nih.gov/34986601/
C,34508353,2022,Nucleic Acids Res,Ben Guebila M,GRAND: a database of gene regulatory network models across human conditions,10.1093/nar/gkab778,"36 tissues and 28 cancers, includes lung","12,468 genome-scale TF-gene networks; 173,013 TF and gene targeting scores",GRAND compares regulatory networks between states and drugs,https://pubmed.ncbi.nlm.nih.gov/34508353/
C,29069589,2017,Cell Rep,Sonawane AR,Understanding Tissue-Specific Gene Regulation,10.1016/j.celrep.2017.10.001,"38 GTEx tissues, includes lung",TF-to-target edges are more tissue-specific than nodes,tissue-specific regulatory networks from GTEx,https://pubmed.ncbi.nlm.nih.gov/29069589/
C,25915600,2015,Nat Genet,Greene CS,Understanding multicellular function and disease with human tissue-specific networks,10.1038/ng.3259,"144 tissues and cell types, includes lung","functional interaction edges, not TF-target edges",GIANT plus NetWAS reweights GWAS genes by tissue network,https://pubmed.ncbi.nlm.nih.gov/25915600/
C,32728249,2020,Nature,Moore JE,Expanded encyclopaedias of DNA elements in the human and mouse genomes,10.1038/s41586-020-2493-4,"human and mouse tissues, includes lung","926,535 human and 339,815 mouse candidate cis-regulatory elements",ENCODE phase III registry of cCREs and TF occupancy,https://pubmed.ncbi.nlm.nih.gov/32728249/
D,31680165,2020,Nucleic Acids Res,Piñero J,The DisGeNET knowledge platform for disease genomics: 2019 update,10.1093/nar/gkz1021,all human diseases incl. lung,no TF-target edges,"DisGeNET covers 24,000+ diseases, 17,000 genes, 117,000 variants",https://pubmed.ncbi.nlm.nih.gov/31680165/
D,39657122,2025,Nucleic Acids Res,Buniello A,Open Targets Platform: facilitating therapeutic hypotheses building in drug discovery,10.1093/nar/gkae1128,all human diseases incl. lung,no TF-target edges,Open Targets Platform target-disease associations with direction of effect,https://pubmed.ncbi.nlm.nih.gov/39657122/
D,39385618,2025,Nucleic Acids Res,Davis AP,Comparative Toxicogenomics Database's 20th anniversary: update 2025,10.1093/nar/gkae883,chemical-gene-disease incl. lung disease,"curated chemical-gene interactions, some TF-mediated",CTD update 2025,https://pubmed.ncbi.nlm.nih.gov/39385618/
D,36914875,2023,Nat Genet,Shrine N,Multi-ancestry genome-wide association analyses improve resolution of genes and pathways influencing lung function and chronic obstructive pulmonary disease risk,10.1038/s41588-023-01314-0,lung function and COPD,"variant-to-gene mapping, not TF-target","580,869 participants, 1,020 signals, 559 genes by >=2 criteria",https://pubmed.ncbi.nlm.nih.gov/36914875/
