tier,pmid,year,journal,first_author,title,doi,assay,cell_type_or_biosample,condition,edge_type,scale_or_note,pubmed_url
T1_lung_TF_binding,31551362,2019,Cancer Res,Sato T,Epigenomic Profiling Discovers Trans-lineage SOX2 Partnerships Driving Tumor Heterogeneity in Lung Squamous Cell Carcinoma,10.1158/0008-5472.CAN-19-2132,epigenomic profiling,lung squamous carcinoma,cancer,TF-DNA,trans-lineage SOX2 partnerships drive tumor heterogeneity,https://pubmed.ncbi.nlm.nih.gov/31551362/
T1_lung_TF_binding,42160949,2026,Lung Cancer,Sato T,Epigenomic profiling of neuroendocrine lung cancers identifies a classical-neuroendocrine ASCL1/NKX2-1 subtype and a SOX11-associated differentiation axis linked to reduced immunogenicity,10.1016/j.lungcan.2026.109464,epigenomic profiling,neuroendocrine lung cancer,cancer,TF-DNA,ASCL1/NKX2-1 classical-NE subtype and a SOX-defined subtype,https://pubmed.ncbi.nlm.nih.gov/42160949/
T1_lung_TF_binding,35105868,2022,Nat Commun,Napoli M,ΔNp63 regulates a common landscape of enhancer associated genes in non-small cell lung cancer,10.1038/s41467-022-28202-1,ChIP-seq / enhancer maps,NSCLC,cancer,TF-DNA,dNp63 enhancer-associated gene landscape,https://pubmed.ncbi.nlm.nih.gov/35105868/
T1_lung_TF_binding,30475207,2018,Elife,Camolotto SA,FoxA1 and FoxA2 drive gastric differentiation and suppress squamous identity in NKX2-1-negative lung cancer,10.7554/eLife.38579,ChIP-seq + genetics,NKX2-1-negative lung cancer,cancer,TF-DNA,"FoxA1/FoxA2 drive gastric differentiation, suppress squamous identity",https://pubmed.ncbi.nlm.nih.gov/30475207/
T1_lung_TF_binding,33821796,2021,Elife,Zewdu R,An NKX2-1/ERK/WNT feedback loop modulates gastric identity and response to targeted therapy in lung adenocarcinoma,10.7554/eLife.66788,ChIP-seq + genetics,LUAD,"cancer, targeted therapy",TF-DNA,NKX2-1/ERK/WNT feedback loop modulates gastric identity,https://pubmed.ncbi.nlm.nih.gov/33821796/
T1_lung_TF_binding,30332632,2018,Immunity,Mollaoglu G,The Lineage-Defining Transcription Factors SOX2 and NKX2-1 Determine Lung Cancer Cell Fate and Shape the Tumor Immune Microenvironment,10.1016/j.immuni.2018.09.020,ChIP-seq + models,lung cancer,"cancer, immune microenvironment",TF-DNA,SOX2 and NKX2-1 determine cell fate and shape the immune microenvironment,https://pubmed.ncbi.nlm.nih.gov/30332632/
T1_lung_TF_binding,37067057,2023,Cancer Res,Tomoshige K,FOXA2 Cooperates with Mutant KRAS to Drive Invasive Mucinous Adenocarcinoma of the Lung,10.1158/0008-5472.CAN-22-2805,ChIP-seq + models,invasive mucinous adenocarcinoma,cancer,TF-DNA,FOXA2 cooperates with mutant KRAS,https://pubmed.ncbi.nlm.nih.gov/37067057/
T1_lung_TF_binding,31884422,2019,Aging (Albany NY),Namani A,Genome-wide global identification of NRF2 binding sites in A549 non-small cell lung cancer cells by ChIP-Seq reveals NRF2 regulation of genes involved in focal adhesion pathways,10.18632/aging.102590,ChIP-seq,A549,"cancer, oxidative stress",TF-DNA,genome-wide NRF2 binding sites in a lung line,https://pubmed.ncbi.nlm.nih.gov/31884422/
T1_lung_TF_binding,27076634,2016,J Biol Chem,Kadiyala V,Cistrome-based Cooperation between Airway Epithelial Glucocorticoid Receptor and NF-κB Orchestrates Anti-inflammatory Effects,10.1074/jbc.M116.721217,ChIP-seq,airway epithelial cells,"inflammation, glucocorticoid",TF-DNA,glucocorticoid receptor and NF-kB cistromes cooperate,https://pubmed.ncbi.nlm.nih.gov/27076634/
T1_lung_TF_binding,28375666,2017,Am J Respir Cell Mol Biol,Sasse SK,Glucocorticoid Receptor ChIP-Seq Identifies PLCD1 as a KLF15 Target that Represses Airway Smooth Muscle Hypertrophy,10.1165/rcmb.2016-0357OC,ChIP-seq,airway smooth muscle,"hypertrophy, glucocorticoid",TF-DNA,GR cistrome identifies PLCD1 as a KLF15 target,https://pubmed.ncbi.nlm.nih.gov/28375666/
T1_lung_TF_binding,40164603,2025,Nat Commun,Sasse SK,Enhancer RNA transcription pinpoints functional genetic variants linked to asthma,10.1038/s41467-025-57693-x,eRNA transcription + reporter,airway cells,asthma,variant-TF-DNA,35 asthma-associated SNPs in eRNA regions; rs258760 disrupts an AHR response element,https://pubmed.ncbi.nlm.nih.gov/40164603/
T1_lung_TF_binding,29572268,2018,Biochem J,Mutolo MJ,A transcription factor network represses CFTR gene expression in airway epithelial cells,10.1042/BCJ20180044,ChIP + reporter,airway epithelial cells,CFTR regulation,TF-DNA,a TF network represses CFTR,https://pubmed.ncbi.nlm.nih.gov/29572268/
T1_lung_TF_binding,32432922,2020,Am J Physiol Lung Cell Mol Physiol,Paranjapye A,The FOXA1 transcriptional network coordinates key functions of primary human airway epithelial cells,10.1152/ajplung.00023.2020,ChIP-seq,primary human airway epithelial cells,normal,TF-DNA,FOXA1 network coordinates airway epithelial function,https://pubmed.ncbi.nlm.nih.gov/32432922/
T1_lung_TF_binding,33731112,2021,Respir Res,Lüdtke TH,Combined genomic and proteomic approaches reveal DNA binding sites and interaction partners of TBX2 in the developing lung,10.1186/s12931-021-01679-y,ChIP-seq + proteomics,developing mouse lung mesenchyme,development,TF-DNA and protein-protein,TBX2 DNA occupancy AND its interaction partners in one study,https://pubmed.ncbi.nlm.nih.gov/33731112/
T1_lung_TF_binding,39980707,2025,Pulm Circ,Cai Y,RNA-Seq and ChIP-Seq Identification of Unique and Overlapping Target Genes and Pathways Regulated by TBX4 in Human Pulmonary Fibroblasts and Pericytes,10.1002/pul2.70058,ChIP-seq + RNA-seq,human pulmonary cells,pulmonary hypertension,TF-DNA,"TBX4 target genes, unique and overlapping sets",https://pubmed.ncbi.nlm.nih.gov/39980707/
T1_lung_TF_binding,33320836,2021,JCI Insight,Gally F,The MUC5B-associated variant rs35705950 resides within an enhancer subject to lineage- and disease-dependent epigenetic remodeling,10.1172/jci.insight.144294,enhancer / epigenetic assays,lung epithelium,IPF (MUC5B rs35705950),variant-enhancer-gene,lineage- and disease-dependent remodeling of the MUC5B enhancer,https://pubmed.ncbi.nlm.nih.gov/33320836/
T1_lung_TF_binding,36777184,2023,Cell Genom,Koh KD,Genomic characterization and therapeutic utilization of IL-13-responsive sequences in asthma,10.1016/j.xgen.2022.100229,H3K27ac ChIP-seq + MPRA + CRISPRi,primary human bronchial epithelial cells,asthma / IL-13,enhancer-gene validated,"IL-13-responsive regulatory elements, functionally optimized",https://pubmed.ncbi.nlm.nih.gov/36777184/
T1_lung_TF_binding,42228021,2026,J Exp Med,Mínguez-Martínez J,A signal-responsive cooperative transcription factor network determines alveolar macrophage identity,10.1084/jem.20242085,ATAC + ChIP + genetics,alveolar macrophages,normal identity,TF-DNA,"RXR and PPARg cooperative network set by DLL4, GM-CSF and TGFb signals",https://pubmed.ncbi.nlm.nih.gov/42228021/
T1_lung_TF_binding,34797692,2021,Sci Immunol,McCowan J,The transcription factor EGR2 is indispensable for tissue-specific imprinting of alveolar macrophages in health and tissue repair,10.1126/sciimmunol.abj2132,epigenomic + genetics,alveolar macrophages,health and tissue injury,TF-DNA,EGR2 imprints alveolar macrophage identity,https://pubmed.ncbi.nlm.nih.gov/34797692/
T1_lung_TF_binding,39042472,2024,JCI Insight,Kolostyak Z,EGR2 is an epigenomic regulator of phagocytosis and antifungal immunity in alveolar macrophages,10.1172/jci.insight.164009,epigenomic profiling,alveolar macrophages,antifungal immunity,TF-DNA,EGR2 as epigenomic regulator of phagocytosis,https://pubmed.ncbi.nlm.nih.gov/39042472/
T1_lung_TF_binding,35210623,2022,Nat Immunol,Subramanian S,Long-term culture-expanded alveolar macrophages restore their full epigenetic identity after transfer in vivo,10.1038/s41590-022-01146-w,epigenome profiling,alveolar macrophages,ex vivo expansion and transfer,chromatin state,epigenetic identity restored after in vivo transfer,https://pubmed.ncbi.nlm.nih.gov/35210623/
T1_lung_TF_binding,37142338,2023,Eur Respir J,Valenzi E,Single-nucleus chromatin accessibility identifies a critical role for TWIST1 in idiopathic pulmonary fibrosis myofibroblast activity,10.1183/13993003.00474-2022,snATAC-seq + RNA-seq,IPF myofibroblasts,IPF,TF motif activity,"3 IPF and 2 donor lungs snATAC, integrated with 10 IPF / 8 control scRNA; TWIST1",https://pubmed.ncbi.nlm.nih.gov/37142338/
T1_lung_TF_binding,33362848,2020,Front Genet,McErlean P,Profiling of H3K27Ac Reveals the Influence of Asthma on the Epigenome of the Airway Epithelium,10.3389/fgene.2020.585746,H3K27ac ChIP-seq,airway epithelium,asthma,enhancer state,asthma influence on the airway epithelial epigenome,https://pubmed.ncbi.nlm.nih.gov/33362848/
T1_lung_TF_binding,34922464,2021,BMC Genomics,Zhou B,Comprehensive epigenomic profiling of human alveolar epithelial differentiation identifies key epigenetic states and transcription factor co-regulatory networks for maintenance of distal lung identity,10.1186/s12864-021-08152-6,methylome + chromatin domains + RNA,human alveolar epithelial cells,AEC2 to AEC1 differentiation,TF co-regulatory network,"enhancer TF binding analysis; NKX2-1, FOXA, MEF2, TEAD, AP1",https://pubmed.ncbi.nlm.nih.gov/34922464/
T1_lung_TF_binding,37150829,2023,J Exp Clin Cancer Res,Ning B,"Convergence of YAP/TAZ, TEAD and TP63 activity is associated with bronchial premalignant severity and progression",10.1186/s13046-023-02674-5,chromatin + expression,bronchial premalignant lesions,premalignancy,TF-DNA,"YAP/TAZ, TEAD and TP63 activity converge with severity",https://pubmed.ncbi.nlm.nih.gov/37150829/
T1_lung_TF_binding,26947080,2016,Cell Rep,Marshall CB,p73 Is Required for Multiciliogenesis and Regulates the Foxj1-Associated Gene Network,10.1016/j.celrep.2016.02.035,ChIP-seq,airway multiciliated cells,normal,TF-DNA,p73 regulates the FOXJ1-associated gene network,https://pubmed.ncbi.nlm.nih.gov/26947080/
T2_perturbation,35058622,2022,Nat Biotechnol,Ursu O,Massively parallel phenotyping of coding variants in cancer with Perturb-seq,10.1038/s41587-021-01160-7,Perturb-seq,A549 lung cancer cells,cancer variants,functional gene-phenotype,"200 TP53 and KRAS variants across >300,000 single lung cancer cells",https://pubmed.ncbi.nlm.nih.gov/35058622/
T2_perturbation,35290801,2022,Cell,Dhainaut M,Spatial CRISPR genomics identifies regulators of the tumor microenvironment,10.1016/j.cell.2022.02.015,Perturb-map (spatial CRISPR),mouse lung tumors in tissue,lung cancer,functional gene-microenvironment,dozens of genes knocked out in parallel with spatial transcriptomics,https://pubmed.ncbi.nlm.nih.gov/35290801/
T2_perturbation,35688146,2022,Cell,Replogle JM,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,10.1016/j.cell.2022.05.013,genome-scale Perturb-seq,K562 and RPE1 (NOT lung),normal,functional gene-program,all expressed genes with CRISPRi across >2.5 million cells,https://pubmed.ncbi.nlm.nih.gov/35688146/
T2_perturbation,27984732,2016,Cell,Dixit A,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens,10.1016/j.cell.2016.11.038,Perturb-seq (method),cell lines,varied,functional gene-program,original Perturb-seq report,https://pubmed.ncbi.nlm.nih.gov/27984732/
T2_perturbation,36608654,2023,Cell,Joung J,A transcription factor atlas of directed differentiation,10.1016/j.cell.2022.11.026,TF overexpression atlas,human embryonic stem cells (NOT lung),directed differentiation,TF-program,atlas of TF-driven cell states,https://pubmed.ncbi.nlm.nih.gov/36608654/
T2_perturbation,31784727,2019,Nat Genet,Fulco CP,Activity-by-contact model of enhancer-promoter regulation from thousands of CRISPR perturbations,10.1038/s41588-019-0538-0,CRISPRi-FlowFISH,cell lines,normal,enhancer-gene validated,">3,500 potential enhancer-gene connections tested for 30 genes; ABC model",https://pubmed.ncbi.nlm.nih.gov/31784727/
T2_perturbation,33828297,2021,Nature,Nasser J,Genome-wide enhancer maps link risk variants to disease genes,10.1038/s41586-021-03446-x,ABC maps from chromatin data,131 human cell types and tissues,72 diseases and traits,enhancer-gene,"5,036 GWAS signals linked to 2,249 unique genes",https://pubmed.ncbi.nlm.nih.gov/33828297/
T2_perturbation,37488417,2023,Nat Genet,Luo R,Dynamic network-guided CRISPRi screen identifies CTCF-loop-constrained nonlinear enhancer gene regulatory activity during cell state transitions,10.1038/s41588-023-01450-7,CRISPRi enhancer screen,hESC definitive endoderm (NOT lung),cell-state transition,enhancer-gene validated,CTCF-loop-constrained interaction activity model,https://pubmed.ncbi.nlm.nih.gov/37488417/
T2_perturbation,37734371,2023,Am J Hum Genet,Werder RB,The COPD GWAS gene ADGRG6 instructs function and injury response in human iPSC-derived type II alveolar epithelial cells,10.1016/j.ajhg.2023.08.017,iPSC-AT2 functional genomics,human iPSC-derived AT2 cells,COPD,gene-function,"ADGRG6, a COPD GWAS gene, instructs AT2 function and injury response",https://pubmed.ncbi.nlm.nih.gov/37734371/
T3_TFDNA_catalog,34174819,2021,BMC Genomics,Puig RR,UniBind: maps of high-confidence direct TF-DNA interactions across nine species,10.1186/s12864-021-07760-6,curated ChIP-seq reprocessing,> 1000 cell lines and tissues,varied,TF-DNA,"UniBind: ~10,000 ChIP-seq datasets, ~56 million TFBS for 644 TFs",https://pubmed.ncbi.nlm.nih.gov/34174819/
T3_TFDNA_catalog,34751401,2022,Nucleic Acids Res,Hammal F,"ReMap 2022: a database of Human, Mouse, Drosophila and Arabidopsis regulatory regions from an integrative analysis of DNA-binding sequencing experiments",10.1093/nar/gkab996,uniform ChIP-seq reprocessing,"human, mouse, fly, Arabidopsis",varied,TF-DNA,"ReMap 2022: human 8,103 datasets, 1,210 regulators, 182 million peaks",https://pubmed.ncbi.nlm.nih.gov/34751401/
T3_TFDNA_catalog,38749504,2024,Nucleic Acids Res,Zou Z,ChIP-Atlas 3.0: a data-mining suite to explore chromosome architecture together with large-scale regulome data,10.1093/nar/gkae358,ChIP/ATAC/DNase/bisulfite integration,six model organisms,varied,TF-DNA,"ChIP-Atlas 3.0: over 376,000 experiments, plus GWAS SNP and ClinVar tracks",https://pubmed.ncbi.nlm.nih.gov/38749504/
T3_TFDNA_catalog,30462313,2019,Nucleic Acids Res,Zheng R,Cistrome Data Browser: expanded datasets and new tools for gene regulatory analysis,10.1093/nar/gky1094,ChIP-seq/DNase/ATAC browser,human and mouse samples,varied,TF-DNA,"Cistrome DB: ~47,000 samples; query which factors regulate a gene",https://pubmed.ncbi.nlm.nih.gov/30462313/
T3_TFDNA_catalog,33231677,2021,Nucleic Acids Res,Kolmykov S,GTRD: an integrated view of transcription regulation,10.1093/nar/gkaa1057,uniform ChIP-seq processing,nine species,varied,TF-DNA,GTRD 2021 integrated view,https://pubmed.ncbi.nlm.nih.gov/33231677/
T3_TFDNA_catalog,32858223,2020,Genomics Proteomics Bioinformatics,Zhang Q,hTFtarget: A Comprehensive Database for Regulations of Human Transcription Factors and Their Targets,10.1016/j.gpb.2019.09.006,ChIP-seq integration,tissue-labelled samples incl. lung,varied,TF-DNA,"hTFtarget: 7,190 ChIP-seq samples of 659 TFs",https://pubmed.ncbi.nlm.nih.gov/32858223/
T3_TFDNA_catalog,31942977,2020,Database (Oxford),Czipa E,ChIPSummitDB: a ChIP-seq-based database of human transcription factor binding sites and the topological arrangements of the proteins bound to them,10.1093/database/baz141,ChIP-seq summit analysis,human cell types,varied,TF-DNA,"ChIPSummitDB: 3,727 datasets, cistromes of 292 TFs, motif-to-summit distances",https://pubmed.ncbi.nlm.nih.gov/31942977/
T3_TFDNA_catalog,37956336,2024,Nucleic Acids Res,Feng C,KnockTF 2.0: a comprehensive gene expression profile database with knockdown/knockout of transcription (co-)factors in multiple species,10.1093/nar/gkad1016,TF knockdown/knockout expression,tissue and cell-type annotated,varied,TF-target functional,"KnockTF 2.0: 1,468 datasets, 612 TFs and 172 co-factors",https://pubmed.ncbi.nlm.nih.gov/37956336/
T3_TFDNA_catalog,32814038,2020,Cell Rep,Funk CC,Atlas of Transcription Factor Binding Sites from ENCODE DNase Hypersensitivity Data across 27 Tissue Types,10.1016/j.celrep.2020.108029,DNase footprinting,27 human tissue types,normal,TF-DNA predicted,"192 ENCODE DNase experiments, occupancy for 1,515 TFs",https://pubmed.ncbi.nlm.nih.gov/32814038/
T3_TFDNA_catalog,32728250,2020,Nature,Vierstra J,Global reference mapping of human transcription factor footprints,10.1038/s41586-020-2528-x,DNase I footprinting,243 human cell and tissue types,normal,TF-DNA,~4.5 million footprint elements at nucleotide resolution,https://pubmed.ncbi.nlm.nih.gov/32728250/
T3_TFDNA_catalog,32728217,2020,Nature,Meuleman W,Index and biological spectrum of human DNase I hypersensitive sites,10.1038/s41586-020-2559-3,DNase I hypersensitivity,"733 biosamples, 438 cell and tissue types",normal,regulatory DNA index,~3.6 million DHSs with a per-DHS tissue barcode,https://pubmed.ncbi.nlm.nih.gov/32728217/
T3_TFDNA_catalog,33536621,2021,Nature,Boix CA,Regulatory genomic circuitry of human disease loci by integrative epigenomics,10.1038/s41586-020-03145-z,integrative epigenomics,800 samples,540 traits,enhancer-gene-trait,"EpiMap: 10,000 epigenomic maps; annotates 30,000 disease loci",https://pubmed.ncbi.nlm.nih.gov/33536621/
T3_TFDNA_catalog,25693563,2015,Nature,Kundaje A,Integrative analysis of 111 reference human epigenomes,10.1038/nature14248,"histone marks, DNA accessibility, methylation, RNA",111 reference epigenomes,primary cells and tissues,regulatory modules,Roadmap Epigenomics; trait variants enriched in tissue-specific marks,https://pubmed.ncbi.nlm.nih.gov/25693563/
T3_TFDNA_catalog,32728249,2020,Nature,Moore JE,Expanded encyclopaedias of DNA elements in the human and mouse genomes,10.1038/s41586-020-2493-4,ENCODE phase III integration,human and mouse tissues,normal,cis-regulatory elements,"926,535 human and 339,815 mouse candidate cCREs",https://pubmed.ncbi.nlm.nih.gov/32728249/
T4_PPI,32296183,2020,Nature,Luck K,A reference map of the human binary protein interactome,10.1038/s41586-020-2188-x,"yeast two-hybrid, all-by-all",human ORFeome,context-free binary,protein-protein,"HuRI: ~53,000 binary protein-protein interactions",https://pubmed.ncbi.nlm.nih.gov/32296183/
T4_PPI,33961781,2021,Cell,Huttlin EL,Dual proteome-scale networks reveal cell-specific remodeling of the human interactome,10.1016/j.cell.2021.04.011,affinity purification mass spectrometry,293T and HCT116 (NOT lung),two cell lines compared,protein-protein,"BioPlex 3.0: 118,162 interactions among 14,586 proteins; cell-specific remodeling measured",https://pubmed.ncbi.nlm.nih.gov/33961781/
T4_PPI,28514442,2017,Nature,Huttlin EL,Architecture of the human interactome defines protein communities and disease networks,10.1038/nature22366,affinity purification mass spectrometry,293T,context-free,protein-protein,BioPlex 2.0 architecture and disease communities,https://pubmed.ncbi.nlm.nih.gov/28514442/
T4_PPI,35271311,2022,Science,Cho NH,OpenCell: Endogenous tagging for the cartography of human cellular organization,10.1126/science.abi6983,"endogenous tagging, imaging plus mass spectrometry",HEK293T (NOT lung),normal,protein-protein and localization,OpenCell interaction and localization cartography,https://pubmed.ncbi.nlm.nih.gov/35271311/
T4_PPI,28596423,2017,Mol Syst Biol,Drew K,"Integration of over 9,000 mass spectrometry experiments builds a global map of human protein complexes",10.15252/msb.20167490,"integration of >9,000 MS experiments",human cells,context-free,protein complex,"hu.MAP: >4,600 complexes, >7,700 proteins, >56,000 interactions",https://pubmed.ncbi.nlm.nih.gov/28596423/
T4_PPI,39526397,2025,Nucleic Acids Res,Steinkamp R,CORUM in 2024: protein complexes as drug targets,10.1093/nar/gkae1033,manual curation,mammalian cells,context-free,protein complex,"CORUM 2024, complexes as drug targets",https://pubmed.ncbi.nlm.nih.gov/39526397/
T4_PPI,33070389,2021,Protein Sci,Oughtred R,"The BioGRID database: A comprehensive biomedical resource of curated protein, genetic, and chemical interactions",10.1002/pro.3978,literature curation,many species,context-free,"protein, genetic and chemical interactions",BioGRID comprehensive resource,https://pubmed.ncbi.nlm.nih.gov/33070389/
T4_PPI,39558183,2025,Nucleic Acids Res,Szklarczyk D,The STRING database in 2025: protein networks with directionality of regulation,10.1093/nar/gkae1113,integration incl. predictions,many species,context-free,protein association (NOT all measured),"STRING 2025 adds directionality of regulation; mixed evidence, filter to experimental",https://pubmed.ncbi.nlm.nih.gov/39558183/
T4_PPI,28794006,2017,Mol Cell Proteomics,Kim BR,Identification of the SOX2 Interactome by BioID Reveals EP300 as a Mediator of SOX2-dependent Squamous Differentiation and Lung Squamous Cell Carcinoma Growth,10.1074/mcp.M116.064451,BioID proximity labeling,lung squamous carcinoma cells,cancer,protein-protein,SOX2 interactome; EP300 mediates squamous differentiation,https://pubmed.ncbi.nlm.nih.gov/28794006/
T4_PPI,35649251,2022,Am J Physiol Cell Physiol,Tang F,Defining the versican interactome in lung health and disease,10.1152/ajpcell.00162.2022,interactome profiling,lung tissue and cells,health and disease,protein-protein,versican interactome in lung health and disease,https://pubmed.ncbi.nlm.nih.gov/35649251/
T4_PPI,37914802,2023,Br J Cancer,Tang M,Targeting the COMMD4-H2B protein complex in lung cancer,10.1038/s41416-023-02476-8,complex purification,lung cancer cells,cancer,protein-protein,COMMD4-H2B protein complex as a lung cancer target,https://pubmed.ncbi.nlm.nih.gov/37914802/
T4_PPI,36217030,2023,Nat Biotechnol,Zhou Y,A comprehensive SARS-CoV-2-human protein-protein interactome reveals COVID-19 pathobiology and potential host therapeutic targets,10.1038/s41587-022-01474-0,affinity purification mass spectrometry,"human cells, virus-host",COVID-19,protein-protein,comprehensive SARS-CoV-2-human interactome,https://pubmed.ncbi.nlm.nih.gov/36217030/
